orf	med	prey	homo	ppi	interaction	D	M	R	type_para
YBL013W	6.85141100588852	YBL013W	0	0	0	2.16731296325649	0	-2.16731296325649	S
YBL014C	6.70097306198827	YBL014C	1	0	0	3.28238939134922	4.66307131265128	1.38068192130207	S
YBL015W	11.5234787233562	YBL015W	0	0	0	4.85473875300095	6.82718389581953	1.97244514281858	S
YBL016W	11.0140201329705	YBL016W	3	0	0	2.42353245578277	4.18882816241232	1.76529570662954	ssd
YBL017C	15.139602788023	YBL017C	2	1	1	4.53525671090384	4.89935450584039	0.364097794936551	ssd
YBL018C	11.9619496158031	YBL018C	0	0	0	4.89762283431222	5.56763670836054	0.670013874048314	S
YBL019W	11.5754348477227	YBL019W	0	0	0	3.14534649396722	3.98341320676268	0.838066712795464	S
YBL020W	12.4138432741464	YBL020W	0	0	0	4.56663861090493	4.50034317247624	-0.0662954384286989	S
YBL021C	11.9460559862107	YBL021C	0	0	0	3.36104823560291	4.3167756974515	0.955727461848593	ssd
YBL022C	10.1379445968618	YBL022C	1	0	0	6.46212104809364	6.8011845291587	0.339063481065063	S
YBL023C	11.3066922950698	YBL023C	3	0	0	5.50846668441301	5.31320230902662	-0.195264375386385	ssd
YBL024W	11.3896204164856	YBL024W	0	0	0	8.3183123216066	7.81659970653491	-0.501712615071686	ssd
YBL025W	6.98162867831652	YBL025W	0	0	0	0.776904935324964	1.010042193189	0.233137257864033	S
YBL026W	11.6302966993171	YBL026W	0	0	0	3.36104823560291	2.67991917497906	-0.681129060623844	ssd
YBL027W	15.9915955992272	YBL027W	0	1	1	NA	NA	NA	wgd
YBL028C	11.7088612430597	YBL028C	0	0	0	4.9525665409428	4.56800777581335	-0.384558765129456	S
YBL031W	10.4797516102589	YBL031W	0	0	0	1.94628544583841	0.991179141210652	-0.955106304627763	ssd
YBL032W	15.8008730680112	YBL032W	1	1	1	6.77146305836565	5.2681611300012	-1.50330192836445	ssd
YBL033C	14.9551493949643	YBL033C	3	1	1	5.93627515864085	6.34168871212616	0.405413553485315	S
YBL035C	6.74555074845827	YBL035C	0	0	0	5.5441422293208	5.60799306137445	0.0638508320536442	S
YBL036C	11.0163407001603	YBL036C	0	0	0	4.32319710823933	4.18882816241232	-0.13436894582701	S
YBL037W	6.59614640723538	YBL037W	1	0	0	5.93599005291727	5.99697393165945	0.0609838787421788	ssd
YBL039W-B	15.2024232700374	YBL039W-B	0	1	1	6.14643731896414	7.34181678266395	1.19537946369981	S
YBL042C	11.2462291741413	YBL042C	0	0	0	5.84204102661434	7.48750242779675	1.64546140118241	ssd
YBL043W	11.7587814746182	YBL043W	0	0	0	2.42353245578277	4.38059786029366	1.95706540451089	wgd
YBL044W	6.73469372048217	YBL044W	0	0	0	NA	NA	NA	S
YBL045C	11.6513750955232	YBL045C	1	0	0	7.98462922214758	7.77028727310468	-0.214341949042896	ssd
YBL046W	11.6947291518483	YBL046W	0	0	0	2.74579880884521	3.32389747153499	0.578098662689782	S
YBL047C	15.805782263282	YBL047C	3	1	1	6.28637848203812	5.76398779374144	-0.522390688296676	ssd
YBL049W	10.6388732738111	YBL049W	0	0	0	1.45729484837647	3.76755946281604	2.31026461443957	S
YBL050W	6.60988677544644	YBL050W	0	0	0	7.63391067274139	7.5598282804432	-0.0740823922981875	S
YBL055C	11.3433008080228	YBL055C	0	0	0	3.62627558304979	4.07081005259229	0.444534469542499	S
YBL057C	7.2029695966712	YBL057C	0	0	0	5.34412188620352	4.88978988833676	-0.454331997866759	S
YBL058W	10.129029373619	YBL058W	0	0	0	6.2820876139513	5.55365847388024	-0.728429140071056	ssd
YBL059C-A	11.5599103610893	YBL059C-A	0	0	0	4.1217945774892	4.85511265478514	0.733318077295943	S
YBL059W	6.85792738526389	YBL059W	0	0	0	4.43311969782023	5.73752182619975	1.30440212837952	wgd
YBL060W	12.2932686729527	YBL060W	0	0	0	5.09477233512521	6.87726572581353	1.78249339068833	ssd
YBL061C	10.1634303229398	YBL061C	0	0	0	4.20420333239365	4.01876768490101	-0.185435647492642	ssd_wgd
YBL063W	6.97709815519344	YBL063W	0	0	0	4.95936677469595	5.37504638407736	0.415679609381401	ssd
YBL064C	12.350219329893	YBL064C	2	0	0	8.72626925742519	10.0430136086952	1.31674435127004	ssd
YBL066C	6.9594316186373	YBL066C	0	0	0	4.85473875300095	3.60331181060005	-1.2514269424009	ssd
YBL068W	13.5905994880684	YBL068W	0	1	1	5.87321523186372	5.46811407158363	-0.405101160280084	ssd_wgd
YBL071C-B	11.5569531730611	YBL071C-B	0	0	0	NA	NA	NA	S
YBL071W-A	11.4844125715544	YBL071W-A	0	0	0	3.02405544462416	2.33795651491887	-0.686098929705298	S
YBL072C	14.8912358374652	YBL072C	0	1	1	1.65092536011202	0	-1.65092536011202	wgd
YBL074C	11.5723735365432	YBL074C	1	0	0	1.37005265571591	3.44335336200626	2.07330070629034	S
YBL075C	11.3438245304654	YBL075C	0	0	0	4.17973396605741	4.62687129638928	0.447137330331874	wgd
YBL076C	6.80965147770784	YBL076C	0	0	0	7.93402694956698	7.42844392615361	-0.505583023413371	ssd
YBL078C	10.9852383376395	YBL078C	0	0	0	4.13638007950834	4.92623668441333	0.789856604904987	S
YBL080C	10.7774365646429	YBL080C	0	0	0	2.05991244904677	2.98452737602896	0.92461492698219	S
YBL081W	6.7991425870733	YBL081W	1	0	0	5.58759901981814	5.02723811187913	-0.560360907939008	ssd
YBL082C	6.64031289875459	YBL082C	0	0	0	5.69247462501686	7.66889207365935	1.97641744864249	S
YBL085W	12.4212609436102	YBL085W	0	0	0	4.63064426993776	4.47853828444368	-0.152105985494087	ssd_wgd
YBL086C	14.3277221601188	YBL086C	0	1	1	4.43311969782023	4.54270379224349	0.109584094423261	ssd
YBL087C	7.2938887581641	YBL087C	0	0	0	NA	NA	NA	wgd
YBL088C	10.3776711909418	YBL088C	0	0	0	5.40531849095817	6.42916567936129	1.02384718840313	ssd
YBL089W	10.8347332101459	YBL089W	0	0	0	5.22691307505884	5.50625282807353	0.279339753014686	ssd_wgd
YBL090W	10.9427969900173	YBL090W	0	0	0	4.61729260483408	4.77415977910525	0.156867174271163	S
YBL092W	7.33272347889436	YBL092W	0	0	0	11.781056387796	10.2188053803736	-1.56225100742245	S
YBL093C	11.1293807694718	YBL093C	0	0	0	4.07450543636363	4.68342697637019	0.608921540006564	S
YBL095W	11.3773475362965	YBL095W	0	0	0	4.73791926099064	5.58108305211095	0.843163791120309	S
YBL097W	7.15973022120686	YBL097W	0	0	0	3.93198555641425	2.60165611094695	-1.3303294454673	ssd
YBL098W	13.0192443050627	YBL098W	0	1	1	3.40634890627492	6.34168871212616	2.93533980585124	S
YBL100W-C	9.7172265623773	YBL100W-C	0	0	0	NA	NA	NA	S
YBL101C	9.73046788812458	YBL101C	0	0	0	4.63064426993776	5.1527229088374	0.522078638899633	ssd_wgd
YBL102W	14.5413116172251	YBL102W	1	1	1	6.0111646254419	4.93707598070345	-1.07408864473845	S
YBL103C	10.332710466707	YBL103C	0	0	0	1.37005265571591	1.57319029959131	0.203137643875398	ssd
YBL104C	7.16166814464009	YBL104C	0	0	0	6.35085080548338	6.65490377933563	0.304052973852253	S
YBL106C	11.4423565487468	YBL106C	0	0	0	2.74579880884521	3.79092839084601	1.04512958200081	wgd
YBL107C	11.237586665643	YBL107C	0	0	0	3.77382757898069	3.30601136515964	-0.467816213821051	S
YBL108C-A	7.11132199272585	YBL108C-A	0	0	0	NA	NA	NA	S
YBL111C	11.5399116462178	YBL111C	0	0	0	NA	NA	NA	ssd
YBL113C	11.3596534631571	YBL113C	0	0	0	NA	NA	NA	ssd
YBR002C	6.68404858348203	YBR002C	0	0	0	5.60122405751465	5.11209540839529	-0.489128649119355	ssd
YBR003W	10.4427666426499	YBR003W	0	0	0	5.04899029897778	4.37547043728435	-0.673519861693428	ssd
YBR004C	6.83283450667978	YBR004C	0	0	0	4.2890745637073	5.30490159716321	1.01582703345591	S
YBR005W	11.1315669615143	YBR005W	0	0	0	2.83000376373142	2.98452737602896	0.154523612297542	wgd
YBR006W	15.1281671429005	YBR006W	3	1	1	4.93926419640439	5.78350903885003	0.844244842445637	ssd
YBR007C	11.4911259382267	YBR007C	0	0	0	4.06142195950972	5.62651506601713	1.56509310650742	ssd
YBR008C	11.5116016240101	YBR008C	0	0	0	6.37585441071982	7.77564978356268	1.39979537284285	ssd
YBR010W	15.3298777813462	YBR010W	0	1	1	9.75840478962722	8.36424411178447	-1.39416067784276	ssd
YBR011C	11.5117905543115	YBR011C	1	0	0	10.412389895629	8.74788079110098	-1.66450910452806	ssd
YBR014C	7.07097372915781	YBR014C	1	0	0	4.61883182435018	4.30512420290556	-0.313707621444615	wgd
YBR015C	11.0292984563928	YBR015C	1	0	0	4.51248606786198	4.10639857507574	-0.406087492786233	ssd
YBR016W	9.32388027451796	YBR016W	1	0	0	7.10086204252897	7.32680696540903	0.225944922880059	wgd
YBR018C	11.6935370651192	YBR018C	0	0	0	1.65092536011202	0	-1.65092536011202	S
YBR019C	11.2642292016109	YBR019C	1	0	0	2.42353245578277	1.59833185333547	-0.825200602447302	ssd
YBR020W	11.8718172687467	YBR020W	0	0	0	1.94628544583841	3.79092839084601	1.8446429450076	wgd
YBR021W	9.70738596681263	YBR021W	0	0	0	4.2890745637073	3.56874962452115	-0.720324939186153	ssd
YBR022W	11.8454679452757	YBR022W	0	0	0	3.36104823560291	2.86978456555895	-0.491263670043952	S
YBR023C	11.848609204229	YBR023C	4	0	0	4.89762283431222	4.66307131265128	-0.234551521660941	ssd
YBR025C	14.6719532295584	YBR025C	1	1	1	7.95749676929931	7.01985756056669	-0.937639208732612	ssd
YBR026C	10.9327216555198	YBR026C	0	0	0	3.15769374687077	3.94690861316987	0.7892148662991	S
YBR033W	11.6736551688071	YBR033W	0	0	0	4.88393844790833	5.26741219740469	0.383473749496362	wgd
YBR035C	10.4821471637001	YBR035C	1	0	0	8.01902354599809	7.5598282804432	-0.459195265554885	S
YBR036C	14.1229524486663	YBR036C	1	1	1	4.77598288085166	5.01938612357051	0.243403242718856	S
YBR037C	6.97891378041687	YBR037C	1	0	0	5.5627675001856	4.01876768490101	-1.54399981528459	wgd
YBR039W	11.0859240451788	YBR039W	0	0	0	8.52559519308187	8.72381109291049	0.198215899828622	S
YBR040W	11.9071998962664	YBR040W	0	0	0	0.776904935324964	0	-0.776904935324964	ssd
YBR041W	14.7514203320842	YBR041W	1	1	1	5.13116553572124	3.76755946281604	-1.3636060729052	ssd
YBR042C	6.59922252072618	YBR042C	0	0	0	4.72010879081651	4.85511265478514	0.135003863968632	wgd
YBR043C	11.3295243176321	YBR043C	0	0	0	5.42298645056672	5.30490159716321	-0.118084853403508	ssd
YBR044C	10.2496358559278	YBR044C	0	0	0	5.64757067167755	6.92816894758854	1.280598275911	ssd
YBR045C	7.20932162468795	YBR045C	0	0	0	2.16731296325649	4.92623668441333	2.75892372115684	ssd
YBR047W	10.8976552096683	YBR047W	0	0	0	2.64103498409098	2.46122207209101	-0.179812911999969	S
YBR050C	11.5767154029371	YBR050C	0	0	0	4.6691968846114	5.99697393165945	1.32777704704804	wgd
YBR052C	10.793171602237	YBR052C	0	0	0	8.94392132655349	7.68282608391031	-1.26109524264318	wgd
YBR053C	11.3508342897688	YBR053C	0	0	0	7.2437071583529	6.80264560412882	-0.441061554224079	S
YBR054W	6.68541180324038	YBR054W	1	0	0	3.59617186214146	0.927036267683973	-2.66913559445749	wgd
YBR055C	9.78518265553282	YBR055C	0	0	0	5.64757067167755	5.50625282807353	-0.141317843604019	ssd
YBR056W	10.6598021605238	YBR056W	0	0	0	6.90520646879571	6.37483257228876	-0.530373896506942	ssd
YBR056W-A	12.0923185905307	YBR056W-A	0	0	0	NA	NA	NA	wgd
YBR057C	13.1828588546559	YBR057C	2	1	1	4.20627594008793	4.17998868478701	-0.0262872553009155	ssd
YBR061C	11.9905416011967	YBR061C	1	0	0	4.56663861090493	4.30512420290556	-0.26151440799937	ssd
YBR062C	6.49876617376318	YBR062C	0	0	0	5.5627675001856	6.11184093134777	0.549073431162168	ssd
YBR063C	11.5324660909055	YBR063C	0	0	0	4.39767976632401	4.30512420290556	-0.0925555634184452	S
YBR066C	10.5213196440613	YBR066C	0	0	0	4.72010879081651	4.41137878787219	-0.308730002944321	wgd
YBR068C	14.8240072422912	YBR068C	0	1	1	7.68752965601348	9.28207139255531	1.59454173654182	wgd
YBR069C	11.9953577722688	YBR069C	1	0	0	5.22691307505884	3.56874962452115	-1.65816345053769	ssd
YBR070C	6.78135971352466	YBR070C	1	0	0	6.42084784664766	6.90248365172286	0.481635805075199	S
YBR071W	6.91277755043541	YBR071W	0	0	0	3.63403559737546	4.34093962755357	0.706904030178109	S
YBR072C-A	9.67387988160969	YBR072C-A	0	0	0	NA	NA	NA	S
YBR072W	14.4016699852048	YBR072W	4	1	1	5.61509549266929	8.57853874742002	2.96344325475073	ssd
YBR076W	11.1908975404934	YBR076W	0	0	0	5.82959082550922	8.62533259757916	2.79574177206994	S
YBR077C	15.199350409733	YBR077C	2	1	1	4.20627594008793	4.38059786029366	0.174321920205735	S
YBR078W	10.4356337832143	YBR078W	0	0	0	7.99429120161279	9.66734398712498	1.67305278551219	wgd
YBR081C	9.07711238681862	YBR081C	1	0	0	6.35085080548338	6.44193823398149	0.0910874284981134	ssd
YBR082C	10.4111158006989	YBR082C	3	0	0	7.47521461587823	6.85282285617978	-0.622391759698449	wgd
YBR083W	11.8786022127339	YBR083W	0	0	0	4.33665472691258	4.47853828444368	0.141883557531099	S
YBR084C-A	6.77356776591543	YBR084C-A	0	0	0	9.33371219022236	7.75716996283996	-1.57654222738239	wgd
YBR085W	11.3380319073289	YBR085W	0	0	0	2.16731296325649	2.20334839455088	0.0360354312943931	wgd
YBR087W	7.27054830767476	YBR087W	0	0	0	5.22442621762487	5.30467530694392	0.0802490893190493	ssd
YBR088C	6.33665453778085	YBR088C	4	0	0	7.66973546279798	6.52758491092235	-1.14215055187564	S
YBR089C-A	11.0199160314383	YBR089C-A	0	0	0	7.50516050749173	6.39190344731295	-1.11325706017878	wgd
YBR090C	11.1891770657336	YBR090C	0	0	0	0	0	0	S
YBR091C	6.57582541498671	YBR091C	2	0	0	5.69083889086008	5.72006500063068	0.0292261097706055	ssd
YBR093C	6.94807158038726	YBR093C	0	0	0	3.02405544462416	6.35961253072424	3.33555708610008	ssd
YBR095C	11.7759984305592	YBR095C	0	0	0	4.88393844790833	4.93707598070345	0.0531375327951205	ssd
YBR097W	11.2571511545628	YBR097W	1	0	0	5.73602302612673	5.47455285593529	-0.261470170191445	ssd
YBR098W	11.6894003684036	YBR098W	0	0	0	6.3760611233253	7.09667299292151	0.720611869596203	ssd
YBR102C	13.9580510144905	YBR102C	3	1	1	4.85473875300095	4.41137878787219	-0.443359965128757	ssd
YBR105C	12.6073471349176	YBR105C	0	0	1	5.16665921410843	6.34007262383112	1.17341340972269	ssd
YBR106W	15.464387972695	YBR106W	1	1	1	6.24626365849047	5.10226339362403	-1.14400026486644	S
YBR107C	10.870325402793	YBR107C	1	0	0	1.37005265571591	0.991179141210652	-0.378873514505263	S
YBR110W	6.95386783858786	YBR110W	2	0	0	1.37005265571591	2.57022974934768	1.20017709363176	S
YBR111C	6.40085417945823	YBR111C	0	0	0	7.3597056419966	7.16961438782459	-0.190091254172008	S
YBR111W-A	11.9158672036804	YBR111W-A	2	0	0	3.62627558304979	2.46122207209101	-1.16505351095878	S
YBR112C	6.78593556270942	YBR112C	1	0	0	4.9525665409428	3.98341320676268	-0.969153334180121	ssd
YBR114W	6.86140376558477	YBR114W	0	0	0	4.98542756507894	6.87726572581353	1.8918381607346	ssd
YBR117C	11.4664986959987	YBR117C	0	0	0	3.93198555641425	2.82452144381635	-1.10746411259789	wgd
YBR118W	7.48345547505819	YBR118W	0	0	0	0	0	0	wgd
YBR120C	6.74555074845827	YBR120C	0	0	0	5.89815271430318	5.4971971877893	-0.400955526513878	S
YBR121C	15.6613984823594	YBR121C	0	1	1	9.32784452172156	8.46161450177689	-0.866230019944672	wgd
YBR122C	6.92460480028463	YBR122C	0	0	0	7.67525844422791	8.64412666973819	0.968868225510277	S
YBR123C	11.8873899110881	YBR123C	1	0	0	6.8473956583525	7.16233090047396	0.314935242121459	S
YBR127C	15.946705218399	YBR127C	1	1	1	6.3125145219625	5.4971971877893	-0.815317334173201	ssd
YBR128C	11.0894807136157	YBR128C	0	0	0	4.88393844790833	5.86524827061905	0.981309822710717	S
YBR129C	11.3592392632432	YBR129C	0	0	0	5.3005081479141	4.62687129638928	-0.67363685152482	S
YBR130C	14.6765171264694	YBR130C	1	1	1	4.69881855011494	4.85511265478514	0.156294104670205	ssd
YBR131W	7.01808680627674	YBR131W	0	0	0	1.85555124269322	3.1878152450034	1.33226400231018	S
YBR132C	12.4822826095084	YBR132C	0	0	0	3.62627558304979	3.98341320676268	0.357137623712893	ssd
YBR133C	11.8487722715812	YBR133C	1	0	0	6.01628458904111	6.58965564030155	0.573371051260441	S
YBR135W	11.6782904619489	YBR135W	2	0	0	4.20627594008793	2.33795651491887	-1.86831942516906	S
YBR137W	14.5566993108895	YBR137W	2	1	1	5.09477233512521	4.88978988833676	-0.204982446788447	S
YBR138C	10.2718331220799	YBR138C	0	0	0	3.40634890627492	3.44824419047413	0.0418952841992044	ssd
YBR140C	12.0858489277137	YBR140C	0	0	0	6.2820876139513	6.57959502021348	0.297507406262183	wgd
YBR142W	12.0802382558962	YBR142W	0	0	0	5.87748905682879	6.46272310766406	0.585234050835275	ssd
YBR143C	15.5570187072627	YBR143C	0	1	1	8.59888623002072	7.50202024631349	-1.09686598370723	ssd
YBR145W	12.0713495824437	YBR145W	0	0	0	5.45309280728622	7.29530058507674	1.84220777779052	wgd
YBR146W	7.0635135215023	YBR146W	0	0	0	5.39933860081784	3.86001922694698	-1.53931937387086	ssd
YBR147W	7.03127606968839	YBR147W	0	0	0	6.77406223620792	7.25828335574112	0.484221119533197	ssd_wgd
YBR148W	7.10213272806842	YBR148W	0	0	0	5.40531849095817	5.54313702099089	0.137818530032727	ssd_wgd
YBR149W	7.07427801177528	YBR149W	0	0	0	7.72641572859547	7.15496996369578	-0.571445764899688	ssd
YBR150C	10.1058229685022	YBR150C	0	0	0	5.09477233512521	5.63441321072748	0.539640875602271	wgd
YBR151W	10.7987580581966	YBR151W	0	0	0	5.28670745222246	5.50625282807353	0.219545375851066	ssd
YBR153W	11.4504655489184	YBR153W	2	0	0	3.02405544462416	3.18772341420822	0.163667969584057	S
YBR154C	9.50694346687223	YBR154C	1	0	0	5.99669379538315	5.34029164931521	-0.656402146067937	S
YBR155W	11.0872367265866	YBR155W	0	0	0	3.99842118872913	4.38059786029366	0.382176671564525	ssd
YBR157C	10.2724218601614	YBR157C	0	0	0	2.83000376373142	1.48683276954952	-1.3431709941819	S
YBR158W	11.4134960929064	YBR158W	0	0	0	5.96247498920616	3.86001922694698	-2.10245576225918	ssd
YBR161W	11.6982193605499	YBR161W	0	0	0	4.06293334499368	3.44335336200626	-0.619579982987421	wgd
YBR162W-A	11.1385743027669	YBR162W-A	0	0	0	6.50645437244006	7.01985756056669	0.513403188126631	S
YBR164C	14.2173793628744	YBR164C	0	1	1	5.03104665580301	4.38059786029366	-0.650448795509353	ssd
YBR165W	10.7827109737146	YBR165W	0	0	0	4.23544370018393	3.86001922694698	-0.37542447323695	ssd
YBR166C	13.270509390991	YBR166C	1	1	1	7.31638110255605	6.97112965377522	-0.345251448780827	S
YBR168W	11.069499592438	YBR168W	0	0	0	3.72481395704308	2.67991917497906	-1.04489478206402	ssd
YBR169C	12.6150485622344	YBR169C	0	0	1	4.72010879081651	5.30467530694392	0.584566516127411	wgd
