"gene"	"DMSO1"	"DMSO2"	"DMSO3"	"MTX1"	"MTX2"	"MTX3"
"YBL022C"	299	347	166	406	401	505
"YBL023C"	622	742	569	1018	1007	560
"YBL024W"	989	952	494	464	571	503
"YBL025W"	18	9	9	12	18	10
"YBL026W"	481	413	305	381	394	761
"YBL027W"	12970	12947	11723	6305	7070	4446
"YBL028C"	399	364	222	348	303	225
"YBL029C-A"	1066	787	504	1452	1646	1254
"YBL029W"	86	114	46	241	194	139
"YBL030C"	9152	8798	4335	9947	12833	10602
"YBL031W"	20	15	13	11	20	11
"YBL032W"	776	621	345	191	197	152
"YBL033C"	485	487	351	1424	1396	1362
"YBL034C"	57	50	29	28	38	47
"YBL035C"	276	292	153	358	349	345
"YBL036C"	172	163	126	635	589	284
"YBL037W"	168	205	97	179	166	197
"YBL038W"	419	381	174	463	474	510
"YBL039C"	975	902	475	281	313	189
"YBL039C-A"	0	0	0	0	0	0
"YBL039W-B"	203	202	163	548	481	517
"YBL040C"	245	206	109	102	154	143
"YBL041W"	493	544	286	533	523	650
"YBL042C"	196	210	99	858	715	788
"YBL043W"	72	60	29	295	285	353
"YBL044W"	29	8	10	1	0	1
"YBL045C"	4929	3764	2213	5829	6281	5050
"YBL046W"	124	100	66	123	106	116
"YBL047C"	1796	1511	790	1597	1757	1491
"YBL048W"	1	0	0	75	78	85
"YBL049W"	11	5	1	49	38	36
"YBL050W"	904	884	531	755	983	1137
"YBL051C"	373	376	135	523	472	239
"YBL052C"	69	64	41	154	130	168
"YBL053W"	1	0	0	0	0	0
"YBL054W"	99	84	44	104	84	68
"YBL055C"	94	74	41	116	116	138
"YBL056W"	2024	2078	1351	1236	1353	1460
"YBL057C"	275	314	164	156	188	203
"YBL058W"	596	552	326	475	524	446
"YBL059C-A"	432	363	315	588	756	553
"YBL059W"	90	84	41	171	203	204
"YBL060W"	45	49	23	155	111	108
"YBL061C"	41	40	23	60	80	62
"YBL062W"	7	3	10	9	15	13
"YBL063W"	33	52	18	17	53	48
"YBL064C"	2217	1745	1445	5185	5354	7813
"YBL065W"	4	2	1	5	12	5
"YBL066C"	58	34	9	33	58	32
"YBL067C"	210	212	106	297	347	134
"YBL068W"	506	472	286	576	636	582
"YBL068W-A"	0	0	0	0	0	0
"YBL069W"	3	1	3	2	2	3
"YBL070C"	3	0	0	17	2	5
"YBL071C"	1	0	1	0	0	0
"YBL071C-B"	0	2	0	0	0	0
"YBL071W-A"	250	219	177	582	514	572
"YBL072C"	9920	11532	9712	6630	7432	5694
"YBL073W"	0	0	0	0	0	0
"YBL074C"	8	1	1	14	10	5
"YBL075C"	314	303	186	636	772	844
"YBL076C"	1026	708	424	591	440	519
"YBL077W"	0	0	2	3	0	0
"YBL078C"	525	376	234	928	932	1142
"YBL079W"	216	160	86	353	346	329
"YBL080C"	26	36	17	80	60	66
"YBL081W"	314	350	265	431	344	243
"YBL082C"	3	5	6	2	0	0
"YBL083C"	1	0	2	24	17	13
"YBL084C"	118	98	79	72	100	81
"YBL085W"	86	65	55	87	137	95
"YBL086C"	97	108	80	205	225	170
"YBL087C"	12390	13273	10887	5925	6674	5377
"YBL088C"	113	99	35	309	401	290
"YBL089W"	39	66	35	76	64	77
"YBL090W"	656	667	557	2586	2906	1063
"YBL091C"	1652	1515	907	1141	1237	1073
"YBL091C-A"	109	88	74	46	80	90
"YBL092W"	15708	17182	7573	6048	6145	6811
"YBL093C"	220	234	130	566	624	458
"YBL094C"	0	2	2	13	10	5
"YBL095W"	218	241	88	403	421	674
"YBL096C"	0	1	0	7	3	10
"YBL097W"	5	0	4	2	1	1
"YBL098W"	26	20	14	100	121	68
"YBL099W"	8225	6710	3399	14881	14548	11129
"YBL100C"	0	0	0	0	0	0
"YBL100W-C"	0	2	0	6	0	3
"YBL101C"	189	202	126	1256	1354	724
"YBL102W"	301	211	178	182	175	380
"YBL103C"	145	79	76	92	76	112
"YBL104C"	202	143	95	212	219	184
"YBL105C"	497	521	292	677	766	650
"YBL106C"	54	33	40	100	98	53
"YBL107C"	235	174	105	436	579	374
"YBL107W-A"	0	0	0	0	0	0
"YBL108C-A"	0	0	0	0	0	0
"YBL108W"	0	0	0	0	0	0
"YBL109W"	0	1	1	1	3	1
"YBL111C"	0	0	0	0	0	0
"YBL112C"	0	0	0	0	0	0
"YBL113C"	0	1	1	2	4	10
"YBL113W-A"	0	0	0	0	0	0
"YBR001C"	535	514	306	625	782	841
"YBR002C"	141	140	62	97	140	154
"YBR003W"	176	133	86	143	185	202
"YBR004C"	53	75	38	264	274	282
"YBR005W"	440	255	125	585	745	481
"YBR006W"	227	175	97	560	491	661
"YBR007C"	104	61	66	100	83	111
"YBR008C"	166	152	54	370	433	463
"YBR009C"	20610	19003	8307	12628	16918	13579
"YBR010W"	9095	8710	6235	7425	9982	7203
"YBR011C"	14674	13342	7402	5579	5665	9899
"YBR012C"	3	3	3	12	11	16
"YBR013C"	12	9	5	18	35	41
"YBR014C"	131	150	84	97	102	129
"YBR015C"	225	217	126	534	631	540
"YBR016W"	1311	1273	993	1982	2069	1662
"YBR017C"	487	376	211	307	311	378
"YBR018C"	4	1	0	4	2	2
"YBR019C"	5	2	1	6	12	6
"YBR020W"	17	2	14	95	117	41
"YBR021W"	43	27	34	152	163	58
"YBR022W"	186	135	127	217	241	149
"YBR023C"	103	80	50	213	270	161
"YBR024W"	176	148	81	300	374	388
"YBR025C"	5711	5170	3011	3731	4371	3609
"YBR026C"	253	203	136	460	545	384
"YBR027C"	113	115	66	129	127	92
"YBR028C"	34	26	10	13	11	12
"YBR029C"	98	106	73	98	85	76
"YBR030W"	111	108	62	155	79	78
"YBR031W"	9505	8653	5351	2716	2766	2699
"YBR032W"	9	10	2	1	2	1
"YBR033W"	68	54	43	94	133	200
"YBR034C"	742	626	421	1088	785	568
"YBR035C"	1918	2000	1361	2062	2119	2065
"YBR036C"	130	130	89	154	175	188
"YBR037C"	219	277	150	204	253	263
"YBR038W"	342	312	220	420	443	318
"YBR039W"	4900	4582	1911	4233	4917	8724
"YBR040W"	1	0	1	0	0	3
"YBR041W"	77	85	45	57	53	75
"YBR042C"	47	81	22	45	40	57
"YBR043C"	141	120	40	179	228	152
"YBR044C"	50	37	24	89	100	131
"YBR045C"	15	14	5	24	28	35
"YBR046C"	163	119	54	109	147	121
"YBR047W"	25	11	14	35	33	29
"YBR048W"	5025	5359	4441	1600	2160	2025
"YBR049C"	1130	1094	700	1303	1411	728
"YBR050C"	57	46	26	155	134	172
"YBR051W"	0	0	0	0	0	0
"YBR052C"	2270	1991	1455	835	1124	1496
"YBR053C"	718	558	314	878	1098	748
"YBR054W"	163	157	51	411	472	245
"YBR055C"	315	250	154	265	265	373
"YBR056C-B"	0	0	2	0	2	0
"YBR056W"	626	533	288	525	488	598
"YBR056W-A"	493	530	408	817	1271	938
"YBR057C"	190	123	87	120	102	160
"YBR058C"	11	18	1	7	1	14
"YBR058C-A"	465	448	257	327	418	622
"YBR059C"	313	196	158	327	321	580
"YBR060C"	174	138	63	120	112	333
"YBR061C"	120	142	90	99	91	94
"YBR062C"	294	273	169	314	469	436
"YBR063C"	62	75	20	149	140	162
"YBR064W"	0	0	0	7	3	0
"YBR065C"	42	24	21	37	14	27
"YBR066C"	153	121	90	155	126	119
"YBR067C"	4678	4115	3579	909	954	895
"YBR068C"	1175	1109	631	6750	8805	3746
"YBR069C"	199	145	123	71	61	67
"YBR070C"	242	247	157	417	482	431
"YBR071W"	596	709	428	1394	1675	1342
"YBR072C-A"	6	0	0	0	0	2
"YBR072W"	3018	3523	1709	22400	31099	50227
"YBR073W"	61	83	67	321	287	217
"YBR074W"	76	70	30	68	111	90
"YBR076C-A"	337	341	246	1078	1344	1494
"YBR076W"	0	2	1	19	26	36
"YBR077C"	267	166	189	171	134	268
"YBR078W"	2888	2511	2095	13121	14063	11155
"YBR079C"	817	717	432	426	462	500
"YBR080C"	1033	884	626	799	818	582
"YBR081C"	569	451	286	655	776	537
"YBR082C"	2093	1702	1241	1783	1083	1812
"YBR083W"	85	69	64	182	214	167
"YBR084C-A"	8350	7947	7231	3698	4025	3886
"YBR084W"	161	126	114	282	340	224
"YBR085C-A"	5515	5427	3151	18563	22085	22700
"YBR085W"	15	30	23	11	34	13
"YBR086C"	248	188	86	210	164	168
"YBR087W"	218	200	146	174	167	152
"YBR088C"	1383	1227	682	671	776	910
"YBR089C-A"	3147	2899	2249	2565	3541	2728
"YBR089W"	0	0	0	0	0	0
"YBR090C"	0	0	0	0	0	0
"YBR091C"	321	332	233	278	308	402
"YBR092C"	16	14	13	15	9	10
"YBR093C"	43	51	14	454	609	617
"YBR094W"	102	117	57	212	213	158
"YBR095C"	139	106	51	121	127	187
"YBR096W"	191	129	108	103	139	90
"YBR097W"	183	135	109	279	285	177
"YBR098W"	47	41	20	57	75	66
"YBR099C"	75	86	65	126	151	117
"YBR101C"	859	563	281	725	613	831
"YBR102C"	168	116	53	126	166	177
"YBR103C-A"	3	0	0	12	2	4
"YBR103W"	211	198	139	466	460	274
"YBR104W"	107	106	28	145	134	130
"YBR105C"	472	361	240	2220	1994	1439
"YBR106W"	2338	1871	1472	1929	2183	1863
"YBR107C"	62	43	38	99	105	103
"YBR108W"	152	99	67	186	253	240
"YBR109C"	3304	3262	2436	2763	3041	3835
"YBR109W-A"	1	1	0	0	0	0
"YBR110W"	49	52	34	101	189	111
"YBR111C"	1070	938	666	1139	1170	1279
"YBR111W-A"	164	123	94	92	79	95
"YBR112C"	242	258	123	189	197	141
"YBR113W"	0	0	0	0	0	0
"YBR114W"	79	63	33	265	270	221
"YBR115C"	568	446	193	315	277	280
"YBR116C"	32	33	23	210	251	181
"YBR117C"	0	0	0	0	0	0
"YBR118W"	103226	97212	58806	46749	51047	53966
"YBR119W"	154	130	112	178	215	151
"YBR120C"	250	175	104	217	248	199
"YBR121C"	2366	2318	910	1125	1041	1526
"YBR121C-A"	0	0	0	0	0	0
"YBR122C"	1266	1085	849	1633	1867	1763
"YBR123C"	297	260	177	466	447	454
"YBR124W"	0	0	0	0	0	1
"YBR125C"	186	137	110	144	196	144
"YBR126C"	6173	5210	3154	10553	11462	7380
"YBR126W-A"	0	0	0	0	0	0
"YBR126W-B"	294	250	192	211	374	298
"YBR127C"	2601	2154	1275	2969	3372	2148
"YBR128C"	51	47	25	113	119	107
"YBR129C"	225	205	139	136	206	187
"YBR130C"	442	411	280	282	328	318
"YBR131C-A"	0	0	0	0	0	0
"YBR131W"	67	54	25	83	133	113
"YBR132C"	72	60	43	50	47	58
"YBR133C"	253	234	170	270	290	257
"YBR134W"	0	0	2	0	0	1
"YBR135W"	158	146	97	116	123	186
"YBR136W"	27	12	10	34	43	44
"YBR137W"	574	471	329	628	699	773
"YBR138C"	62	91	13	50	76	62
"YBR139W"	158	65	60	92	104	149
"YBR140C"	348	301	159	582	704	489
"YBR141C"	46	54	21	65	68	47
"YBR141W-A"	0	3	2	0	0	0
"YBR142W"	256	201	117	223	206	193
"YBR143C"	2262	1882	878	854	924	800
"YBR144C"	20	11	5	0	0	1
"YBR145W"	459	430	115	1613	1835	1736
"YBR146W"	969	792	529	1276	1437	906
"YBR147W"	311	225	91	424	470	334
"YBR148W"	40	29	22	48	55	62
"YBR149W"	3623	3826	2205	3062	3530	3132
"YBR150C"	165	80	43	156	230	171
"YBR151W"	589	475	359	709	956	980
"YBR152W"	0	0	2	13	10	15
"YBR153W"	418	374	265	571	675	673
"YBR154C"	425	405	262	269	201	278
"YBR155W"	97	56	49	141	110	142
"YBR156C"	198	131	107	391	413	346
"YBR157C"	9	7	1	8	16	9
"YBR158W"	421	397	282	169	244	141
"YBR159W"	126	73	44	26	41	15
"YBR160W"	416	316	234	343	426	436
"YBR161W"	40	39	11	36	28	19
"YBR162C"	2079	1664	892	3499	4068	3856
"YBR162W-A"	696	667	605	1049	1083	1276
"YBR163W"	89	99	45	96	84	58
"YBR164C"	522	424	349	354	384	524
"YBR165W"	110	79	64	128	105	110
"YBR166C"	383	284	195	239	243	203
"YBR167C"	180	120	75	98	163	138
"YBR168W"	12	31	15	21	10	26
"YBR169C"	943	740	426	1469	1669	1417
"YBR170C"	229	206	146	220	242	264
"YBR171W"	213	154	80	111	135	137
"YBR172C"	643	555	310	448	562	489
"YBR173C"	561	519	463	484	624	676
"YBR174C"	0	0	0	0	0	0
"YBR175W"	100	102	67	44	39	38
"YBR176W"	62	76	51	79	82	84
"YBR177C"	2268	2102	1390	2771	3096	2226
"YBR178W"	3	0	0	0	0	0
"YBR179C"	132	152	67	213	199	276
"YBR180W"	6	3	7	21	14	11
"YBR181C"	12012	13529	10149	6360	6886	7133
"YBR182C"	4	11	4	10	17	12
"YBR182C-A"	13	9	7	0	0	0
"YBR183W"	357	289	201	136	145	229
"YBR184W"	21	17	14	29	9	14
"YBR185C"	262	205	118	470	483	673
"YBR186W"	5	5	2	1	8	6
"YBR187W"	545	493	343	451	469	313
"YBR188C"	86	51	49	79	47	99
"YBR189W"	23832	25553	21766	3548	3939	3739
"YBR190W"	0	0	0	0	0	0
"YBR191W"	2373	2625	1792	450	461	201
"YBR191W-A"	2395	2698	1574	1989	2188	1485
"YBR192W"	197	134	99	138	197	124
"YBR193C"	102	109	50	154	177	142
"YBR194W"	74	54	39	288	480	169
"YBR195C"	144	166	101	122	115	107
"YBR196C"	5002	4560	2808	5941	5032	5618
"YBR196C-A"	17	27	17	58	52	24
"YBR196C-B"	22	10	13	7	22	19
"YBR197C"	21	15	20	18	14	22
"YBR198C"	354	297	142	261	246	233
"YBR199W"	135	67	63	116	104	131
"YBR200W"	182	97	64	194	137	178
"YBR200W-A"	0	0	0	0	0	0
"YBR201C-A"	37	20	16	516	547	949
"YBR201W"	49	31	40	89	72	128
"YBR202W"	252	244	148	444	440	256
"YBR203W"	72	51	24	71	80	88
"YBR204C"	106	88	41	76	102	178
"YBR205W"	8	8	3	11	19	18
"YBR206W"	33	32	8	60	85	49
"YBR207W"	80	76	49	74	97	107
"YBR208C"	1345	1225	618	5921	6246	6334
"YBR209W"	0	0	0	0	0	0
"YBR210W"	21	18	17	6	20	14
"YBR211C"	43	14	13	11	20	28
"YBR212W"	227	195	122	326	323	192
"YBR213W"	73	78	59	68	66	80
"YBR214W"	687	725	458	767	960	867
"YBR215W"	164	185	98	137	175	187
"YBR216C"	308	225	111	306	230	183
"YBR217W"	38	49	41	53	76	127
"YBR218C"	1539	1266	599	2130	2287	2589
"YBR219C"	0	2	1	0	2	0
"YBR220C"	2	7	1	0	0	0
"YBR221C"	1788	1420	930	1155	1217	1333
"YBR221W-A"	0	0	2	0	0	1
"YBR222C"	425	416	256	909	946	524
"YBR223C"	31	40	18	17	24	28
"YBR223W-A"	0	0	0	0	0	0
"YBR224W"	0	2	0	0	0	0
"YBR225W"	46	36	6	27	29	27
"YBR226C"	0	0	0	0	0	0
"YBR227C"	15	18	4	22	17	26
"YBR228W"	91	88	57	109	126	165
"YBR229C"	56	24	18	31	46	24
"YBR230C"	1293	1309	760	2163	2500	3210
"YBR230W-A"	709	602	402	556	505	703
"YBR231C"	199	244	146	270	292	310
"YBR232C"	0	0	0	0	2	1
"YBR233W"	104	94	51	69	62	75
"YBR233W-A"	119	141	112	115	92	138
"YBR234C"	1802	1586	1114	1423	1597	1325
"YBR235W"	105	109	62	173	210	181
"YBR236C"	201	168	119	285	406	299
"YBR237W"	103	74	51	195	181	198
"YBR238C"	18	17	15	9	5	2
"YBR239C"	106	68	76	95	130	102
"YBR240C"	5	0	10	8	11	5
"YBR241C"	106	91	44	441	564	497
"YBR242W"	102	153	83	129	104	158
"YBR243C"	160	63	54	184	242	127
"YBR244W"	396	329	315	178	252	241
"YBR245C"	259	176	109	138	154	140
"YBR246W"	262	227	207	214	193	377
"YBR247C"	290	244	163	200	208	253
"YBR248C"	672	476	335	1180	1279	1307
"YBR249C"	4030	3859	2211	5418	5892	3599
"YBR250W"	18	8	6	12	22	14
"YBR251W"	382	375	231	245	285	362
"YBR252W"	697	829	514	446	504	849
"YBR253W"	261	207	170	322	306	285
"YBR254C"	32	22	10	50	48	18
"YBR255C-A"	761	835	583	1401	1518	1838
"YBR255W"	137	126	64	319	333	230
"YBR256C"	473	426	189	614	702	641
"YBR257W"	187	173	103	257	264	253
"YBR258C"	65	43	31	79	67	90
"YBR259W"	36	26	11	59	54	44
"YBR260C"	262	175	115	128	137	192
"YBR261C"	278	270	233	424	541	387
"YBR262C"	452	643	375	980	1176	3379
"YBR263W"	527	512	313	523	597	533
"YBR264C"	129	107	68	89	76	105
"YBR265W"	1686	1771	1040	737	678	692
"YBR266C"	0	0	0	0	0	0
"YBR267W"	315	370	179	368	391	340
"YBR268W"	614	579	387	891	1124	867
"YBR269C"	1798	1703	966	2382	3085	3854
"YBR270C"	60	54	23	91	141	91
"YBR271W"	160	161	136	204	155	129
"YBR272C"	232	218	150	283	304	266
"YBR273C"	151	136	100	156	118	174
"YBR274W"	104	95	73	96	147	130
"YBR275C"	50	49	25	43	24	38
"YBR276C"	297	212	132	349	368	401
"YBR277C"	2	4	4	6	5	6
"YBR278W"	178	137	133	295	374	533
"YBR279W"	167	186	103	152	102	101
"YBR280C"	197	220	129	483	652	748
"YBR281C"	167	156	112	160	201	206
"YBR282W"	276	296	211	442	431	463
"YBR283C"	338	332	193	650	750	503
"YBR284W"	28	23	14	27	17	42
"YBR285W"	116	99	30	54	54	112
"YBR286W"	530	472	257	523	915	509
"YBR287W"	348	270	124	328	362	268
"YBR288C"	139	134	89	91	119	141
"YBR289W"	134	75	41	63	71	75
"YBR290W"	135	135	94	191	242	210
"YBR291C"	1843	1961	1037	849	806	878
"YBR292C"	56	57	42	194	170	107
"YBR293W"	29	24	14	119	133	89
"YBR294W"	283	193	137	1857	1695	1510
"YBR295W"	45	28	22	173	182	108
"YBR296C"	48	86	25	515	505	503
"YBR296C-A"	1	2	1	0	2	0
"YBR297W"	271	294	177	635	875	1040
"YBR298C"	122	124	58	433	445	383
"YBR298C-A"	0	0	0	0	0	0
"YBR299W"	0	0	0	0	0	1
"YBR300C"	0	0	0	0	0	0
"YBR301W"	0	0	0	0	0	2
"YBR302C"	0	0	0	0	2	0
"YCL001W"	534	499	366	338	346	363
"YCL001W-A"	0	0	0	0	0	0
"YCL001W-B"	0	0	0	2	0	0
"YCL002C"	75	55	49	93	99	88
"YCL004W"	25	22	9	44	38	36
"YCL005W"	133	105	80	193	213	128
"YCL005W-A"	2397	1892	1209	1411	1474	2370
"YCL007C"	1	1	4	0	0	0
"YCL008C"	201	201	137	193	288	319
"YCL009C"	3053	3000	2123	3365	3174	3431
"YCL010C"	42	26	5	26	19	45
"YCL011C"	693	702	386	707	997	774
"YCL012C"	321	227	180	414	486	652
"YCL014W"	120	110	78	136	229	187
"YCL016C"	46	38	29	74	89	59
"YCL017C"	322	330	217	838	1080	492
"YCL018W"	0	0	0	0	0	0
"YCL021W-A"	5	5	0	28	19	7
"YCL022C"	0	0	0	0	0	0
"YCL023C"	0	0	0	9	17	10
"YCL024W"	111	67	37	83	107	82
"YCL025C"	1550	1335	715	7731	8303	5442
"YCL026C-A"	0	0	1	0	0	2
"YCL026C-B"	370	266	166	201	209	246
"YCL027W"	4	1	7	49	40	52
"YCL028W"	1763	1533	992	1675	1978	1228
"YCL029C"	86	81	39	43	58	105
"YCL030C"	2303	1828	823	1879	1831	2199
"YCL031C"	248	245	152	248	195	103
"YCL032W"	64	61	49	147	156	166
"YCL033C"	434	431	287	653	669	426
"YCL034W"	869	928	434	1020	1073	624
"YCL035C"	2002	1992	1494	3789	4363	3833
"YCL036W"	49	31	13	42	11	19
"YCL037C"	217	207	101	98	84	85
"YCL038C"	32	26	4	3	30	59
"YCL039W"	163	114	72	246	261	227
"YCL040W"	10364	9253	4517	9997	11145	6578
"YCL041C"	8	23	6	23	15	2
"YCL042W"	3	2	1	1	1	0
"YCL043C"	1018	833	549	1826	2222	2137
"YCL044C"	70	46	32	75	51	44
"YCL045C"	183	154	89	222	201	195
"YCL046W"	2	0	4	1	1	0
"YCL047C"	93	72	55	111	87	113
"YCL048W"	5	8	1	10	20	23
"YCL048W-A"	3	4	0	4	10	3
"YCL049C"	72	67	35	285	438	474
"YCL050C"	1004	927	574	498	445	491
"YCL051W"	81	62	39	42	64	87
"YCL052C"	252	181	153	341	445	365
"YCL054W"	213	191	106	143	108	131
"YCL054W-A"	0	0	0	0	0	0
"YCL055W"	69	40	25	84	83	77
"YCL056C"	157	140	79	353	320	505
"YCL057C-A"	6955	6707	3535	14874	16112	16324
"YCL057W"	881	622	324	601	785	712
"YCL058C"	13	21	9	33	43	17
"YCL058W-A"	135	141	123	385	337	339
