quadrant	total_count	total_percentage	accepted_count	accepted_percentage	selection	accepted_percentage_of_total	min	max
Destabilizing both HMs	3134	50.84	106	23.3	Both homodimers	3.38225909380983	2.77725110958595	4.07616758728816
Opposite direction	2511	40.74	223	49.01	Both homodimers	8.88092393468738	7.79680295473793	10.0620090820905
Stabilizing both HMs	519	8.42	126	27.69	Both homodimers	24.2774566473988	20.6477747376179	28.2029957299632
Destabilizing both HMs	2894	47.23	210	27.74	Heterodimer	7.25639253628196	6.33755450451779	8.26273524119506
Opposite direction	2660	43.41	391	51.65	Heterodimer	14.6992481203008	13.3742058507141	16.1024813294536
Stabilizing both HMs	574	9.37	156	20.61	Heterodimer	27.1777003484321	23.5765917222514	31.0155754892595
